H,TWI,Aspect,Hillshade,Roughness,Slope,Temperature_merra_1000hpa,T_rp5,Time,DayOfYear,X,Y
110,6.57,0.0,184,2,0.46,294.59,16.5,360,169,50.8,42.0
110,6.57,0.0,184,2,0.46,289.16,23.3,1080,170,50.8,42.0
110,6.57,0.0,184,2,0.46,292.98,22.0,720,170,50.8,42.0
110,6.57,0.0,184,2,0.46,287.31,11.4,360,170,50.8,42.0
110,6.57,0.0,184,2,0.46,284.49,11.3,0,170,50.8,42.0
110,6.57,0.0,184,2,0.46,296.91,24.4,720,171,50.8,42.0
110,6.57,0.0,184,2,0.46,291.78,15.6,360,171,50.8,42.0
110,6.57,0.0,184,2,0.46,287.03,16.4,0,171,50.8,42.0
110,6.57,0.0,184,2,0.46,292.08,24.6,1080,171,50.8,42.0
110,6.57,0.0,184,2,0.46,288.6,19.2,1080,172,50.8,42.0
110,6.57,0.0,184,2,0.46,289.84,12.8,360,172,50.8,42.0
110,6.57,0.0,184,2,0.46,287.52,14.9,0,172,50.8,42.0
110,6.57,0.0,184,2,0.46,294.11,19.5,720,172,50.8,42.0
110,6.57,0.0,184,2,0.46,286.88,10.3,360,173,50.8,42.0
110,6.57,0.0,184,2,0.46,285.92,12.2,0,173,50.8,42.0
110,6.57,0.0,184,2,0.46,291.98,21.0,720,173,50.8,42.0
110,6.57,0.0,184,2,0.46,290.96,21.8,1080,173,50.8,42.0
110,6.57,0.0,184,2,0.46,289.51,20.2,1080,174,50.8,42.0
110,6.57,0.0,184,2,0.46,292.32,20.9,720,174,50.8,42.0
110,6.57,0.0,184,2,0.46,293.5,17.5,360,174,50.8,42.0
110,6.57,0.0,184,2,0.46,288.74,13.5,0,174,50.8,42.0
110,6.57,0.0,184,2,0.46,287.67,17.6,0,175,50.8,42.0
110,6.57,0.0,184,2,0.46,296.47,26.9,1080,175,50.8,42.0
110,6.57,0.0,184,2,0.46,299.24,25.5,720,175,50.8,42.0
110,6.57,0.0,184,2,0.46,291.06,17.6,360,175,50.8,42.0
110,6.57,0.0,184,2,0.46,290.36,19.0,1080,176,50.8,42.0
110,6.57,0.0,184,2,0.46,294.48,16.1,720,176,50.8,42.0
110,6.57,0.0,184,2,0.46,295.25,15.8,360,176,50.8,42.0
110,6.57,0.0,184,2,0.46,289.27,18.3,0,176,50.8,42.0
110,6.57,0.0,184,2,0.46,292.47,16.8,1080,177,50.8,42.0
110,6.57,0.0,184,2,0.46,298.63,21.6,720,177,50.8,42.0
110,6.57,0.0,184,2,0.46,293.61,11.6,360,177,50.8,42.0
110,6.57,0.0,184,2,0.46,287.98,12.5,0,177,50.8,42.0
110,6.57,0.0,184,2,0.46,290.06,14.8,360,178,50.8,42.0
110,6.57,0.0,184,2,0.46,288.57,14.5,0,178,50.8,42.0
110,6.57,0.0,184,2,0.46,293.08,16.0,720,178,50.8,42.0
110,6.57,0.0,184,2,0.46,290.08,14.8,1080,178,50.8,42.0
110,6.57,0.0,184,2,0.46,293.89,22.0,1080,179,50.8,42.0
110,6.57,0.0,184,2,0.46,297.32,18.8,720,179,50.8,42.0
110,6.57,0.0,184,2,0.46,288.06,14.7,0,179,50.8,42.0
110,6.57,0.0,184,2,0.46,292.77,15.0,360,179,50.8,42.0
110,6.57,0.0,184,2,0.46,290.88,16.5,0,180,50.8,42.0
110,6.57,0.0,184,2,0.46,296.56,16.9,360,180,50.8,42.0
110,6.57,0.0,184,2,0.46,302.22,25.3,720,180,50.8,42.0
110,6.57,0.0,184,2,0.46,299.47,21.2,1080,180,50.8,42.0
110,6.57,0.0,184,2,0.46,299.47,17.5,720,181,50.8,42.0
110,6.57,0.0,184,2,0.46,299.47,18.8,1080,181,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,15.1,360,181,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,16.8,0,181,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,14.3,0,182,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,14.0,360,182,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,20.4,720,182,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,22.3,1080,182,50.8,42.0
110,6.57,0.0,184,2,0.46,296.1,26.8,1080,183,50.8,42.0
110,6.57,0.0,184,2,0.46,300.27,24.8,720,183,50.8,42.0
110,6.57,0.0,184,2,0.46,300.27,16.4,0,183,50.8,42.0
110,6.57,0.0,184,2,0.46,295.65,18.3,360,183,50.8,42.0
110,6.57,0.0,184,2,0.46,299.88,27.8,1080,184,50.8,42.0
110,6.57,0.0,184,2,0.46,292.32,19.1,0,184,50.8,42.0
110,6.57,0.0,184,2,0.46,297.87,19.6,360,184,50.8,42.0
110,6.57,0.0,184,2,0.46,303.93,29.8,720,184,50.8,42.0
110,6.57,0.0,184,2,0.46,295.77,17.6,0,185,50.8,42.0
110,6.57,0.0,184,2,0.46,300.74,18.6,360,185,50.8,42.0
110,6.57,0.0,184,2,0.46,302.85,28.8,720,185,50.8,42.0
110,6.57,0.0,184,2,0.46,298.01,26.5,1080,185,50.8,42.0
110,6.57,0.0,184,2,0.46,295.28,18.7,0,186,50.8,42.0
110,6.57,0.0,184,2,0.46,298.57,19.6,360,186,50.8,42.0
110,6.57,0.0,184,2,0.46,303.8,29.6,720,186,50.8,42.0
110,6.57,0.0,184,2,0.46,300.03,30.0,1080,186,50.8,42.0
110,6.57,0.0,184,2,0.46,295.89,18.6,0,187,50.8,42.0
110,6.57,0.0,184,2,0.46,300.18,19.1,360,187,50.8,42.0
110,6.57,0.0,184,2,0.46,305.59,30.8,720,187,50.8,42.0
110,6.57,0.0,184,2,0.46,301.55,30.4,1080,187,50.8,42.0
110,6.57,0.0,184,2,0.46,306.91,33.4,720,188,50.8,42.0
110,6.57,0.0,184,2,0.46,302.24,33.3,1080,188,50.8,42.0
110,6.57,0.0,184,2,0.46,302.57,20.8,360,188,50.8,42.0
110,6.57,0.0,184,2,0.46,297.85,20.2,0,188,50.8,42.0
110,6.57,0.0,184,2,0.46,295.8,24.8,0,189,50.8,42.0
110,6.57,0.0,184,2,0.46,306.02,20.4,360,189,50.8,42.0
110,6.57,0.0,184,2,0.46,304.99,28.6,1080,189,50.8,42.0
110,6.57,0.0,184,2,0.46,311.62,25.8,720,189,50.8,42.0
110,6.57,0.0,184,2,0.46,311.62,26.7,1080,190,50.8,42.0
